📝 Logging started: vit_tiny_patch16_224_pdt_20260306_024138.log
>>> [System] ViT detected. Input size forced to 224 for dataloader.
✅ CIFAR-100 Data loaded: Train(50000), Val/Test(10000)
Experimental Mode: N/A
Target Model: vit_tiny_patch16_224 | Dataset: cifar100
>>> [Model] Loading Vision Transformer for Hessian Analysis: vit_tiny_patch16_224

[Stage 1] Analyzing ViT Block-wise Topology for visiontransformer...
[*] ViT: 12 transformer blocks identified for grouping.

==================== Final Topology Groups ====================
 Group  1 | Channels:  576 | Layers: blocks.0.attn.proj ... (4 layers)
 Group  2 | Channels:  576 | Layers: blocks.1.attn.proj ... (4 layers)
 Group  3 | Channels:  576 | Layers: blocks.2.attn.proj ... (4 layers)
 Group  4 | Channels:  576 | Layers: blocks.3.attn.proj ... (4 layers)
 Group  5 | Channels:  576 | Layers: blocks.4.attn.proj ... (4 layers)
 Group  6 | Channels:  576 | Layers: blocks.5.attn.proj ... (4 layers)
 Group  7 | Channels:  576 | Layers: blocks.6.attn.proj ... (4 layers)
 Group  8 | Channels:  576 | Layers: blocks.7.attn.proj ... (4 layers)
 Group  9 | Channels:  576 | Layers: blocks.8.attn.proj ... (4 layers)
 Group 10 | Channels:  576 | Layers: blocks.9.attn.proj ... (4 layers)
 Group 11 | Channels:  576 | Layers: blocks.10.attn.proj ... (4 layers)
 Group 12 | Channels:  576 | Layers: blocks.11.attn.proj ... (4 layers)
===============================================================
[*] Total 12 groups identified.


[Pruner Init] Identified 12 groups for pruning.
[*] Applied Min Survival Guarantee: 40.0%
[System] Initializing ViTPDTPruner for vit_tiny_patch16_224

>>> Strategy: PDT | Total Epochs: 300
>>> Pruning starts at Epoch 100, every 50 epochs.
 Group  5 |  192/ 192 |     0.0% | Hessian: 9743.860352
 Group  6 |  190/ 192 |     1.0% | Hessian: 7670.794434
 Group  7 |  186/ 192 |     3.1% | Hessian: 8260.975586
 Group  8 |  149/ 192 |    22.4% | Hessian: 5251.894531
 Group  9 |   58/ 192 |    69.8% | Hessian: 5600.341309
 Group 10 |    4/ 192 |    97.9% | Hessian: 4148.237305
 Group 11 |    0/ 192 |   100.0% | Hessian: 2082.375977
 Group 12 |    0/ 192 |   100.0% | Hessian: 1595.429443

[Scientific Metrics] 🟢 Size: 16.68MB | 🔵 Sparsity: 20.15% | 🟡 Speedup: 1.25x
=========================================================================================

 [*] ViT Pruning Complete: 398 units pruned.

[Scientific Metrics - Epoch 150]
 🟢 Model Size: 20.89 MB -> 16.68 MB
 🔵 Sparsity: 15.62 %
 🟡 Speedup: 1.25x
💾 Checkpoint saved: vit_tiny_patch16_224_pdt_ep150_sp15.62.pth
Epoch 150/300 | Loss: 2.7413 | Val Acc: 44.55% | Peak VRAM: 19663.82 MB
Epoch 151/300 | Loss: 1.8721 | Val Acc: 52.37% | Peak VRAM: 4503.32 MB
Epoch 152/300 | Loss: 1.5998 | Val Acc: 56.74% | Peak VRAM: 4503.32 MB
Epoch 153/300 | Loss: 1.4376 | Val Acc: 59.84% | Peak VRAM: 4503.32 MB
Epoch 154/300 | Loss: 1.3187 | Val Acc: 61.86% | Peak VRAM: 4503.32 MB
Epoch 155/300 | Loss: 1.2295 | Val Acc: 63.23% | Peak VRAM: 4503.32 MB
Epoch 156/300 | Loss: 1.1601 | Val Acc: 64.56% | Peak VRAM: 4503.32 MB
Epoch 157/300 | Loss: 1.1007 | Val Acc: 65.41% | Peak VRAM: 4503.32 MB
Epoch 158/300 | Loss: 1.0524 | Val Acc: 66.67% | Peak VRAM: 4503.32 MB
Epoch 159/300 | Loss: 1.0083 | Val Acc: 67.81% | Peak VRAM: 4503.32 MB
Epoch 160/300 | Loss: 0.9721 | Val Acc: 68.37% | Peak VRAM: 4503.32 MB
Epoch 161/300 | Loss: 0.9367 | Val Acc: 68.96% | Peak VRAM: 4503.32 MB
Epoch 162/300 | Loss: 0.9083 | Val Acc: 69.34% | Peak VRAM: 4503.32 MB
Epoch 163/300 | Loss: 0.8825 | Val Acc: 69.71% | Peak VRAM: 4503.32 MB
